"полиэстер 65%; хлопок 35%, плотность 200 г/м2; пике",хлопок/полиэстер
"полиэстер 65%; хлопок 35%, плотность 200 г/м²; пике",хлопок/полиэстер
"полиэстер 65%; хлопок 35%, плотность 240 г/м²",хлопок/полиэстер
"полиэстер 65%; хлопок 35%, плотность 240 г/м2; футер",хлопок/полиэстер
"полиэстер 65%; хлопок 35%, плотность 240 г/м²; футер",хлопок/полиэстер
полиэстер 65%; хлопок 35%; утеплитель - синтепон,хлопок/полиэстер
"полиэстер 70%; хлопок, 30%",хлопок/полиэстер
"полиэстер 80%; шелк, 20%",хлопок/полиэстер
"полиэстер 92%, эластан 8%",полиэстер
"полиэстер 94%, плотность 340 г/м²; эластан 6%; софтшелл",полиэстер
"полиэстер 94%; эластан 6%, плотность 340 г/м2; софтшелл",полиэстер
"полиэстер 94%; эластан 6%, плотность 340 г/м²; софтшелл",полиэстер
"полиэстер 96%, эластан 4%",полиэстер
"полиэстер 96%, эластан 4%; подкладка полиэстер 100",полиэстер
полиэстер 96%; спандекс 4%; софтшелл,полиэстер
"полиэстер 96%; эластан 4%, плотность 280 г/м²; софтшелл",полиэстер
полиэстер 96%; эластан 4%; софтшелл,полиэстер
"полиэстер воздухопроницаемый, плотность 140 г/м2",полиэстер
"полиэстер, 210T",полиэстер
"полиэстер, 260Т,  утеплитель синтепух",полиэстер
"полиэстер, 260Т, утеплитель синтепух",полиэстер
"полиэстер, 75%, эластан 25%",полиэстер
"полиэстер, 82%, эластан 18%",полиэстер
"полиэстер, 83%; вискоза, 13%; эластан 4%; пике, неопреновое; плотность 380 г/м²",полиэстер
"полиэстер, 83%; вискоза, 13%; эластан 4%; пике, неопреновое; плотность 380 г/м2; вставка и капюшон - нейлон 100%, таслан",полиэстер
"полиэстер, 83%; вискоза, 13%; эластан 4%; пике, неопреновое; плотность 380 г/м²; вставка и капюшон - нейлон 100%, таслан",полиэстер
"полиэстер, 86%; эластан, 14%; джерси; флис",полиэстер
"полиэстер, 96%; спандекс 4%, плотность 280 г/м2; подкладка-флис",полиэстер
"полиэстер, 96%; спандекс 4%, плотность 280 г/м²; подкладка-флис",полиэстер
"полиэстер, АБС пластик, ПВХ",другое
"полиэстер, вискоза, хлопок",хлопок/полиэстер
